registro_id,valor,unidad,nombre,comentarios,nombre_corto,metodo_id
11f9022e51d8a5ce15209f7ae6d90557,14.9,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
6ed63f841fab52b7fe8091cc7735784f,13.75,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
e7dcb0d40437d9b4eed0654902c5b7ed,15.0,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
796dd35981b88d76c17de8130f51f652,15.5,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
e61c97b941ead82715f0ac44b01a0734,12.5,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
d766ddab26d7b83ca4d21d160f73e5ed,13.25,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
22ef9586d2503ea75dadb379b3a9d90c,12.75,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
557ceb0c84a2029c5475400ac979c3fc,14.25,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
94643fe8d62322827341608ba0574115,15.4,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
43b1d0aa935aa2b9e880e461ac6603b8,15.0,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
db3db8e51f8c800c5bb30863bbde2c1e,15.5,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
a5890b1582e24c1767972c4bebf13404,15.75,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
b447cbd31ac81176d42e63e9ed3d8e54,12.5,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
04e1768cb3ea0b4e228afbdd76705f25,15.5,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
44f2cf73198bb87ade6129686115df2f,15.75,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
119779d186083368608ca04634808575,13.65,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
6ebcef34cb3e31345ddeae80415cbcd5,13.25,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
7fb45f81abf89e224aa524e7de429cf8,12.75,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
868f431a269e5ee328ab7dc0223c8028,17.5,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
b85081c704c658e656586ffcc8a8a450,12.4,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
955f5cd8e67db6efaaff1d0c588c0518,14.4,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
7320bdd0156be8fd1b2422fbc321bf21,12.75,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
998674349aa07a39ed917f44d34ab13d,15.75,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
02070fa41145420b0dbcf05ad087367a,14.75,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
f75a8cca2dc5a4a5ce943a173e50d89b,12.25,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
f34c8ab5cabf3ad555c1e3c5dc361efd,13.5,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
3107972290986657f9b42d884bb04bd0,15.25,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
f55ffaf6d1cfa42a064a5ebbbce14c83,15.25,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
75042655dc86615e0620d3e86614d278,13.75,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
38e72569ac1eaa16e188ba495f44d325,14.0,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
d187fc03a939de5522ce33a1a2780d09,12.5,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
ada66ec6f74bbc9e13505da0a91d13bd,13.25,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
9a2530580a9017b8f3a77cb644000619,15.25,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
b3bd6d8264e25c5d671ee22c39f36609,14.75,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
c3280c778ce19dbdc0cc4d6805984abd,17.5,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
31e29b216458b6aeac9df7e959e8916c,14.5,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
a17f114879a0f089ba84283974e95730,16.25,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
d89fc4488e492e6a56a22490cdbb1bb6,12.75,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
125ceac4365222867ada119e6add6fc8,15.75,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
96d4fc168eb55ee8d1f9525db40f09e3,12.5,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
4f0782a2c705c38779e0b278f9d3ed70,15.5,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
d7390164fd8514474288553747cc7a2e,17.0,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
1663f19cf93e3333e17704bdc5cdcd21,14.0,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
9b6ce8e5dcfb951a73c9b5a4d870d25e,13.25,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
05402292bc2525521c47663253af5ebf,15.5,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
93bd3f3270cc96405e18f316e12cb503,16.75,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
9dfc18dbe2b2969efab6136709142e37,13.0,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
93f7ec8a64a0d40af4ca4dacf59f162a,9.5,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
5e9ab7b96e8bf72b71625fb5ff59bc20,13.0,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
20faec0595e1284bb18ff1c8338b15cf,15.0,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
a8fc8b47c02d2736d3a9f0f0cc4389d3,12.5,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
090e49b8b057c2169b43dde577c35816,13.5,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
6e2016f35f90872659f8816c7ce10616,13.25,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
e30a164137f818bf57edc159b8c996cf,10.75,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
60dc0bafb5ddd99bf9a8a24ce82fbcc1,12.25,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
d5f19cbf3485a435dc1381ece69043ae,14.75,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
f84bbced9caa3580e6224e65b9647e3d,14.0,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
8aad093e3a27f0bc5dd34ad596999abf,12.75,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
aba09a45ded964fcc27a3c53f0db3d26,16.25,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
6e03cdcade46eb431cfdec6f9507ae69,13.0,cm,Longitud de mazorca,El registro no tiene método asociado porque fue captura de una donación de bases de datos.,longitud_mazorca,NULL
